Password,Times
oxhgnot,0.0
hkagy,0.0
kyjaftna,0.0
kkzp,0.0
mgonzxg,0.0
hfgbhih,0.0
zbizsks,0.0
wjllrqjl,1.0
jfmahkbqp,0.0
yztqsgoxo,0.0
istgpmb,0.0
vipzqj,1.0
nqizypmn,0.0
hxjx,0.0
ooqzmyyoiq,0.0
gbhg,0.0
xxyiyh,0.0
zjezp,1.0
sxahoztpq,0.0
ixbqi,0.0
pfsbjf,0.0
anfzhfpsj,0.0
hxtnj,0.0
zrqljpn,1.0
tqjp,0.0
szhpq,0.0
xxxtyqkboh,0.0
jetnvrdlp,1.0
atskjhkiom,0.0
hfgmbnomb,0.0
gjfqihps,0.0
nzktms,0.0
gptiyj,0.0
njsxbbsmj,0.0
ostz,0.0
zhkkpn,0.0
noizp,0.0
drqleubmm,1.0
pgonim,0.0
ffimqpxjpf,0.0
dbyz,1.0
qtogy,0.0
gqhyapm,0.0
bjjs,0.0
omisaapz,0.0
rclci,1.0
fyaboiibp,0.0
myan,0.0
zeln,1.0
okhsh,0.0
qjgsstsy,0.0
yfqpbhpan,0.0
jqpgpaanzf,0.0
wubpyqup,1.0
ohtyiipyip,0.0
jbhnihhx,0.0
ojxb,0.0
bxkinnyp,0.0
cwpz,1.0
kjkyhmaa,0.0
bvzywzi,1.0
igsyyobx,0.0
sagb,0.0
onis,0.0
qijtp,0.0
xmbyg,0.0
qippkys,0.0
bzgkgsxzi,0.0
nbbxgyi,0.0
dbpcmybzde,1.0
hjfqy,0.0
gtyy,0.0
kfkq,0.0
xhjni,0.0
sbyokag,0.0
zmskzmzn,0.0
pmxqphbo,0.0
xogi,0.0
gpbksx,0.0
xzkpygokz,0.0
xpkhz,0.0
sonjattbi,0.0
tptsoq,0.0
jzzbndli,1.0
qqhyyfiob,0.0
pyayj,0.0
yymoz,0.0
bqsayzptx,0.0
pullyzbb,1.0
sgxozzipt,0.0
wtucid,1.0
lcllqvtwq,1.0
bpbqbevc,1.0
sshmk,0.0
sxhnzxamgf,0.0
juleywcy,1.0
ymbnfnp,0.0
iozmps,0.0
jaox,0.0
niszgmo,0.0
vmtezvet,1.0
jihnh,0.0
bsyp,0.0
mybjimhsys,0.0
ypatf,0.0
iwupmevwb,1.0
amjypfqts,0.0
kzmfjyh,0.0
ayfbj,0.0
ulmbbueww,1.0
ygmmzoa,0.0
fnghqo,0.0
jqmb,0.0
yszymt,0.0
bskfgjot,0.0
bgxjybj,0.0
izqpat,0.0
kjmmnxomko,0.0
nbnthh,0.0
oqnqxz,0.0
wjwruvpv,1.0
pqqyk,0.0
haoimh,0.0
sggxik,0.0
mznstohks,0.0
ewqlnwznt,1.0
opsmk,0.0
mzyob,0.0
pyjkfyypq,0.0
szsf,0.0
gyzaipn,0.0
ifpkpzjxo,0.0
clyzu,1.0
ymxxjkof,0.0
nmnh,0.0
nnzmyj,0.0
yzgtskyymb,0.0
zxxb,0.0
pnqagbsmmy,0.0
pngixsbf,0.0
pzbfpjn,0.0
mjxhakkg,0.0
fboqkjjjzi,0.0
ykstsomihi,0.0
fmhnots,0.0
npzmmhx,0.0
asxkyh,0.0
smyojokab,0.0
mankagtbn,0.0
ayxzphath,0.0
bypzbaiqx,0.0
mfqs,0.0
smhaao,0.0
phpxqt,0.0
uilcy,1.0
qzbkkkx,0.0
tmqfhatog,0.0
xhptzjbh,0.0
ommg,0.0
oofsjjf,0.0
amkyskhsfm,0.0
jqyxibp,0.0
qtihnqsa,0.0
ylmpv,1.0
tzka,0.0
hgppjhomy,0.0
xoxymtmbbi,0.0
yxxoqgpgx,0.0
zyzonos,0.0
npmkkp,0.0
bfzttzykon,0.0
shffqhax,0.0
fqbs,0.0
hykhkimnt,0.0
mxqnmt,0.0
fpnzg,0.0
ucrylnv,1.0
yrvlu,1.0
mkaynhotp,0.0
zpqjf,0.0
okyfgxjjak,0.0
ebnirpitiz,1.0
bvizijeu,1.0
hmjqxt,0.0
ionsikk,0.0
ysizyfoniy,0.0
pzoooms,0.0
gzfqfa,0.0
ibazqxg,0.0
zifqsjhmm,0.0
jnqx,0.0
pozt,0.0
iiyh,0.0
qbzhzzf,0.0
oszhi,0.0
xxzzqtnak,0.0
psxh,0.0
kithipfzay,0.0
bsqsmx,0.0
tqizg,0.0
bbduyiwun,1.0
kxqnap,0.0
nffxm,0.0
rqnqdbeyq,1.0
amxms,0.0
pbniizspq,0.0
qmwrjzwne,1.0
zzpgp,0.0
jizvt,1.0
mjclvu,1.0
btxyf,0.0
gpbfkqatgo,0.0
ngjhnzt,0.0
zifioogbx,0.0
nmtmghj,0.0
mabkbiqnx,0.0
bhazhi,0.0
kjpfi,0.0
hnbyz,0.0
jqaxksf,0.0
nylieywbty,1.0
mhtqkfiyyp,0.0
hssjook,0.0
xyhoq,0.0
fpqmpbig,0.0
hiptkskg,0.0
fhahghpqis,0.0
zagiymxagy,0.0
fnmo,0.0
nclbmpc,1.0
ccjqybqpm,1.0
mghxaspqbb,0.0
jnghnyihmk,0.0
gxnyfo,0.0
zkpb,0.0
sftmbgz,0.0
jfqjyg,0.0
shqpjy,0.0
izaoogihip,0.0
qtrmm,1.0
psmazxym,0.0
qathzffks,0.0
hayghygty,0.0
sogtznffq,0.0
gbinakxosz,0.0
okanoqtjgh,0.0
nxftt,0.0
zdep,1.0
opyozyaofo,0.0
asgb,0.0
ixgpmsnkn,0.0
kssyzoh,0.0
fqmgohs,0.0
znjyvy,1.0
skyktqj,0.0
pzsat,0.0
tgos,0.0
hgotmobhiz,0.0
znfzh,0.0
hfgmyjyqks,0.0
imkatts,0.0
zbwn,1.0
msbbni,0.0
bdvubltuun,1.0
mihjkjyayj,0.0
thiohmhj,0.0
bbpjzd,1.0
qhtmq,0.0
byimqtj,0.0
icrrtlc,1.0
ttsgomfn,0.0
gqzbtys,0.0
pmtpxjmo,0.0
btnlwvz,1.0
yrpmu,1.0
mqwbdiwwr,1.0
bmcjduli,1.0
oaaqff,0.0
mftksm,0.0
zikfy,0.0
vuitpdqn,1.0
szhznkix,0.0
hhynbtmznm,0.0
tgfgfzo,0.0
gkymps,0.0
ldwetzj,1.0
sqgmb,0.0
kzgmtyby,0.0
iygzyof,0.0
iqcunrlj,1.0
eyydtivuev,1.0
yssqyxoh,0.0
mmpmysq,0.0
tpjai,0.0
kafk,0.0
itjzkqnhmz,0.0
bapbi,0.0
hphzqj,0.0
baanogoon,0.0
yaiqntfbi,0.0
njhbig,0.0
tmgoh,0.0
qyax,0.0
tbtjwrbdn,1.0
tsxmfzki,0.0
fiaiptstb,0.0
zrzq,1.0
ymigqzk,0.0
fjmmakxi,0.0
npxx,0.0
pooa,0.0
tkzj,0.0
ipakhxn,0.0
pjpgtaaspb,0.0
iptihbbiy,0.0
itxoz,0.0
skgij,0.0
zhps,0.0
atatnmisan,0.0
yrzqbqdyv,1.0
aqxxoaq,0.0
hmnymnioqy,0.0
pfmhotphpq,0.0
xjbm,0.0
mdziwil,1.0
tqiprcwt,1.0
ynhnxamip,0.0
pjja,0.0
ttbtn,0.0
ytfyh,0.0
fmabxgsxq,0.0
koyh,0.0
hbsbjh,0.0
noyf,0.0
hhhmhomzfb,0.0
yimmg,0.0
gjgshpnzkq,0.0
ifnfazth,0.0
jcqtzymz,1.0
xotnp,0.0
sfsohihop,0.0
khnaijzti,0.0
hmbpno,0.0
ngmmhxx,0.0
iqhxmnkn,0.0
yqnt,1.0
mkbqiho,0.0
tomkk,0.0
hmxmhtf,0.0
nakfsy,0.0
qobj,0.0
uetvuvtli,1.0
timgxghzxt,0.0
gbkny,0.0
jbjqbaa,0.0
nbzsa,0.0
txostoa,0.0
bcyelbrp,1.0
yqqf,0.0
jsbfniftf,0.0
mgsn,0.0
xshjxmmx,0.0
ygofjpi,0.0
wcqwwnywv,1.0
nziq,0.0
pyfgmtj,0.0
shqfx,0.0
hsxfjsnpaq,0.0
szfahi,0.0
ixop,0.0
jxagjqtxj,0.0
tljebtuyu,1.0
ibxz,0.0
bbsx,0.0
rvimintvue,1.0
qggymx,0.0
zgnonif,0.0
jhkfobbfgj,0.0
yaxxxzf,0.0
gjot,0.0
qxmk,0.0
anzypmkib,0.0
ijzifp,0.0
aznag,0.0
ijbthktp,0.0
aihnnmjt,0.0
hofg,0.0
jxoh,0.0
ofxfmgbbak,0.0
ddmmjeq,1.0
issqo,0.0
ibhzpasqq,0.0
kbtqpi,0.0
xghikgtkf,0.0
zgkzfxf,0.0
jyurpnl,1.0
vwqtbnt,1.0
xfff,0.0
yaaysyzy,0.0
qptdnyvrd,1.0
vczzvubbm,1.0
atgzbh,0.0
vyidw,1.0
lqwpm,1.0
yqqg,0.0
iuuq,1.0
pcwpvjb,1.0
jdiydtq,1.0
qjxopjzktk,0.0
hfjgfzhf,0.0
hqtjy,0.0
jxyyqq,0.0
atytbs,0.0
skqxsa,0.0
jyxfifxzah,0.0
axjin,0.0
amtsgotoo,0.0
ntxp,0.0
vwzibby,1.0
gspioh,0.0
vrvycbwzuv,1.0
dyuuuvl,1.0
pggxoyh,0.0
zdniw,1.0
kxtn,0.0
unyeytnvev,1.0
yqjnyyg,0.0
joyzttzbf,0.0
ahota,0.0
zmjymyhn,0.0
afkat,0.0
tcenwemwm,1.0
qyiqmats,0.0
ypyg,0.0
ygihytxyz,0.0
njajongim,0.0
ktmkoza,0.0
iyfkzxx,0.0
oatf,0.0
ojnaha,0.0
cuqn,1.0
pykkbzfoqt,0.0
pphzp,0.0
mtpmqljt,1.0
gjoxp,0.0
sgzkfxna,0.0
gaipgjasi,0.0
kkox,0.0
jiyam,0.0
fbnbj,0.0
maaoo,0.0
ynun,1.0
opqypzfhpb,0.0
dbprzrz,1.0
ucunvllc,1.0
gtmz,0.0
yymp,1.0
ikzint,0.0
vbdue,1.0
mjrruinn,1.0
rtryciy,1.0
pbnxsmxs,0.0
tqtjak,0.0
mqnqqss,0.0
ppioppnioz,0.0
gihimoxbbh,0.0
mykkfkmo,0.0
kffho,0.0
qoymiaa,0.0
kbzsptqsff,0.0
zsokq,0.0
agjiz,0.0
otnoj,0.0
zpkkpgbp,0.0
kkhxaayx,0.0
fpghfkk,0.0
zthkypsok,0.0
aais,0.0
yfkzfj,0.0
hnzkkqk,0.0
ngbjoqk,0.0
xzoyokbm,0.0
ganyfkba,0.0
nfiiaqk,0.0
pnhiq,0.0
hhtxjgaao,0.0
unucmvbd,1.0
skjqhy,0.0
pogqok,0.0
ikjyygaxsx,0.0
yzpttqq,0.0
bxpsxnk,0.0
cltncryrjj,1.0
zwvz,1.0
kfhimbnf,0.0
yatitjbqmx,0.0
vpdenvqlv,1.0
jjkiiimka,0.0
iqkxj,0.0
jptspqz,0.0
nqnps,0.0
khhh,0.0
kmxbg,0.0
iypxyq,0.0
hshqhfa,0.0
jkammsgk,0.0
muuy,1.0
nqimyfztf,0.0
bbiqwtlb,1.0
inpajbmta,0.0
nzxhf,0.0
lncz,1.0
jqkfx,0.0
xpsfjxnao,0.0
ogiotpiss,0.0
hthhm,0.0
nqgybpsszz,0.0
pkjqnnm,0.0
txhsx,0.0
haayzb,0.0
sfokqoxakn,0.0
inbbune,1.0
afbsjsxkj,0.0
zwpnucjwr,1.0
ggzqfhmh,0.0
fyzgxg,0.0
zthig,0.0
nmspoxjz,0.0
fssfngpi,0.0
aznmiyjoo,0.0
lqlnuei,1.0
nqntccwbnn,1.0
nyxgisbig,0.0
qttv,1.0
bohb,0.0
jagyqzot,0.0
oqgptyz,0.0
kakib,0.0
qzcm,1.0
hbqhpo,0.0
pmmqrnpqd,1.0
upqdjpl,1.0
yimftyg,0.0
jqyfnao,0.0
aizyi,0.0
igqm,0.0
akjfk,0.0
ngansspg,0.0
zajbgk,0.0
aoytympzs,0.0
pbnik,0.0
nnqyqx,0.0
nigjfjbx,0.0
ytgnmxntg,0.0
reeiuylu,1.0
bmabssh,0.0
bopzzaam,0.0
yxygb,0.0
oopmnqi,0.0
xnbo,0.0
mfnbiqbn,0.0
zjqzi,0.0
snmhfxmzj,0.0
axmzbaaix,0.0
jnkqqiifm,0.0
byzgkma,0.0
ofoo,0.0
kfxkzyyk,0.0
wwldwbudbi,1.0
sqosifs,0.0
uzwl,1.0
ybhqz,0.0
amxzpmnabq,0.0
yuprdr,1.0
gmsqxm,0.0
jhhitnztp,0.0
xyjyn,0.0
nhfsqgz,0.0
ssgzknjjs,0.0
bnpx,0.0
sibxxjxyp,0.0
ccbuyyqqt,1.0
qxaqtnyzo,0.0
fopxzs,0.0
rjluy,1.0
ogznibtm,0.0
yzzbpo,0.0
qylbjmyu,1.0
dtvey,1.0
zmbgqf,0.0
mzmnmfq,0.0
oimxq,0.0
oiap,0.0
jlzplu,1.0
gbxn,0.0
kiijnfj,0.0
lluqrwqicw,1.0
basnjgy,0.0
yhmxs,0.0
zpjkp,0.0
nfin,0.0
pzqydp,1.0
htkzsi,0.0
xhfftkks,0.0
xmypzz,0.0
jnfk,0.0
qctez,1.0
kjzqt,0.0
bnkzjnsxo,0.0
hnozpkff,0.0
mpoazzzbxz,0.0
fqymiyon,0.0
bsgq,0.0
xgigahkigp,0.0
btuc,1.0
jqzermwip,1.0
jyfzpaxggs,0.0
qutpwepw,1.0
tyoyi,0.0
ulivlzty,1.0
paab,0.0
qtfhtpqb,0.0
hpikbi,0.0
fmhxkh,0.0
jijyap,0.0
zjgpaffkos,0.0
oxiff,0.0
dezrzqci,1.0
txaobamm,0.0
ijmxhfntyq,0.0
oybpgxma,0.0
nvweqiprm,1.0
zbjpmqjy,0.0
ewwebnqrtb,1.0
vrlzjzt,1.0
ngxoybfn,0.0
bynqbjb,0.0
hzxq,0.0
zndrnybyj,1.0
hbomozybf,0.0
mgxf,0.0
gkopoi,0.0
xyptiif,0.0
yttg,0.0
iyaff,0.0
zihgm,0.0
mfhapn,0.0
kyfzanynks,0.0
fmjpp,0.0
gbgiaxomt,0.0
kjtt,0.0
hsshnhanbj,0.0
hoamqbasqo,0.0
pshxqpyamf,0.0
mtnqog,0.0
yghpfx,0.0
xmjn,0.0
xgfktya,0.0
iznikiap,0.0
nkkhaabxo,0.0
tonbtx,0.0
gtbz,0.0
yitnhh,0.0
euyylrjwl,1.0
zbsy,0.0
kjixk,0.0
pxihqqp,0.0
tgnj,0.0
smjkihokfp,0.0
qzkxyiqb,0.0
opxag,0.0
nyhbzobmii,0.0
zjgajzahk,0.0
sompxtzxnh,0.0
kbkhqhptzk,0.0
pevt,1.0
rqyrzmqrwm,1.0
zmqaxxhbyo,0.0
qqbup,1.0
vqcnwb,1.0
bzxsmfiqkg,0.0
htjongifh,0.0
jvwitweq,1.0
bfhj,0.0
jywe,1.0
inpj,0.0
xqhmohhn,0.0
mbtafjyajq,0.0
wqlv,1.0
tycqczmby,1.0
xsfsys,0.0
mbtsbykf,0.0
koyjbmqiz,0.0
ygkto,0.0
vcnvwndu,1.0
xqysksmhj,0.0
onqztgzq,0.0
nryvecqj,1.0
sbzb,0.0
mrbzce,1.0
njxgzfns,0.0
zmjps,0.0
bfamfzx,0.0
zfsspp,0.0
tngg,0.0
qpghxoz,0.0
nqsn,0.0
mnigfx,0.0
amshinys,0.0
zozoihazqh,0.0
tftb,0.0
qhsbgh,0.0
vmlyuub,1.0
pmqfnm,0.0
zzkhm,0.0
azfhqh,0.0
tzmycqlcw,1.0
foqijo,0.0
tijxj,0.0
sphkiqn,0.0
tnxfjp,0.0
ikjq,0.0
obxgsjna,0.0
ruzvebzp,1.0
piabfqmo,0.0
blmuzrbmd,1.0
mfmitt,0.0
hjamto,0.0
xzskq,0.0
qqtfnpnzt,0.0
lmww,1.0
ffsa,0.0
bpebjzzcz,1.0
xkghgggzy,0.0
axxjgokox,0.0
bbddqzwnre,1.0
sqkoxhnzy,0.0
zmmn,0.0
ppotjnt,0.0
zirdi,1.0
zymy,0.0
skaqgaftzz,0.0
mzktpjqfg,0.0
obftapb,0.0
mzyxo,0.0
otjozhosaj,0.0
gxbaig,0.0
btxq,0.0
pbpxx,0.0
juelujqd,1.0
ygxt,0.0
pdjwywcutb,1.0
vcrzjem,1.0
qogi,0.0
gqbpkf,0.0
oakszzssz,0.0
josjnh,0.0
fxfmt,0.0
atiobmtx,0.0
htzzhkbzm,0.0
bxqyy,0.0
bmbz,0.0
bzassp,0.0
bhgz,0.0
ozoxn,0.0
qsasmzxs,0.0
dinwcurbwd,1.0
qzbkob,0.0
kxhogmg,0.0
yhkb,0.0
yinjuudcvv,1.0
fysbjfab,0.0
ifntxsof,0.0
tkbykyyim,0.0
nbftfooh,0.0
yzotzfio,0.0
xkjip,0.0
lnrdplbpqm,1.0
zmtbz,1.0
ahhjm,0.0
pskobxjq,0.0
nmojko,0.0
tmein,1.0
imnt,0.0
yfbxpgiyk,0.0
ymzeunz,1.0
tpjzm,0.0
opgazy,0.0
fsiqfkiiyi,0.0
kgsptxktiy,0.0
jozpoib,0.0
foonamfmp,0.0
dwjywzvqyt,1.0
mmjtazfqq,0.0
bntgftbn,0.0
sayyoyiax,0.0
vtziwbqr,1.0
wdnme,1.0
jmnbky,0.0
ijaqhqfany,0.0
sfzj,0.0
trdrbrze,1.0
zofkmkg,0.0
ttabozxf,0.0
mzdmv,1.0
kbazjnzt,0.0
fffnhkfgnk,0.0
ktkaspbjxa,0.0
ztfafghq,0.0
azhjttabtp,0.0
oyhaon,0.0
zjiykbnmt,0.0
unntctwicd,1.0
ptigyg,0.0
jopzxzx,0.0
ghfpitiy,0.0
jmizgq,0.0
hobkqj,0.0
mzzihkzh,0.0
hxxotpxq,0.0
gxqosf,0.0
gaxbxnb,0.0
hmnfbak,0.0
izpbiomff,0.0
yitbi,1.0
sxhz,0.0
bnttrbelvu,1.0
wrlrq,1.0
sjbfso,0.0
ifztfkb,0.0
hxth,0.0
urlwylc,1.0
ucvn,1.0
gqszhii,0.0
zamtfiok,0.0
nmxsaja,0.0
ijqb,0.0
nsppsztgqy,0.0
xpgx,0.0
qsftjfy,0.0
ngxxspg,0.0
opzzahxt,0.0
apig,0.0
hffpknbmp,0.0
fykmn,0.0
xzhmx,0.0
iazzhhhnpx,0.0
ljjr,1.0
jxtmso,0.0
mmyzkijg,0.0
abnsbpyzax,0.0
xzixp,0.0
mjstfx,0.0
bppbfiqays,0.0
fbmanoqo,0.0
kojnnx,0.0
nthiktnjmi,0.0
fqoobxs,0.0
gomf,0.0
yazfbxfa,0.0
bgyqnnbiox,0.0
qxma,0.0
hzzbypjfgb,0.0
yafkimnx,0.0
tplrpi,1.0
kjas,0.0
gpaxzftgiy,0.0
vjppqvytvz,1.0
bhmbqoss,0.0
tptknshfx,0.0
ubvbyn,1.0
sgtymo,0.0
moyihgzjmm,0.0
ncyptq,1.0
ucjvtz,1.0
onijnxmqbg,0.0
fppotph,0.0
obojipmhz,0.0
xfqay,0.0
kxmb,0.0
njpbmv,1.0
rcluqqbzee,1.0
zaxkfay,0.0
etjie,1.0
fkqg,0.0
yueli,1.0
ihmag,0.0
ueiiy,1.0
dtnetccce,1.0
akjt,0.0
elwmzrwcz,1.0
jwlpi,1.0
yqosn,0.0
bbia,0.0
ohihpyth,0.0
btqxikbhbf,0.0
bdbn,1.0
pdwej,1.0
cytc,1.0
xoxty,0.0
sagsmqny,0.0
tbagaf,0.0
zbng,0.0
njkb,0.0
ymtpuziyu,1.0
qigi,0.0
ifnmhmjmm,0.0
mmqtmvvv,1.0
hipgz,0.0
xonb,0.0
iqpxxt,0.0
gjsmpiy,0.0
ytpy,1.0
gnknftmxzi,0.0
pqizk,0.0
athhojkqqh,0.0
gghfzyt,0.0
tfkinbxmt,0.0
ebpnq,1.0
btatzg,0.0
onqjnsts,0.0
zxns,0.0
njgtxsa,0.0
ttzij,0.0
vcpyldyycw,1.0
qszshmybo,0.0
hsixpnqhop,0.0
kgtgf,0.0
ahatpqaxp,0.0
yfigoip,0.0
lynybcprnr,1.0
bqbht,0.0
jzjlrdzn,1.0
ztssj,0.0
hfhmppq,0.0
bpqftmagg,0.0
pjopjmbmyg,0.0
snjz,0.0
nnfyapqmk,0.0
koqppj,0.0
tpqmhfx,0.0
jkqgbnyzmz,0.0
yggoz,0.0
rilcmyn,1.0
anqy,0.0
ynzhfxbyq,0.0
phaobpn,0.0
bfbkxyfp,0.0
jzqbimiy,0.0
gkxm,0.0
smzbsjz,0.0
tmwptwqpq,1.0
tqyznhao,0.0
hgxbmbxtyg,0.0
ytthkhzh,0.0
xkqg,0.0
qamy,0.0
axffbh,0.0
ysisoyna,0.0
oghpxq,0.0
jecid,1.0
bxhng,0.0
aktmt,0.0
qcyiidmlvp,1.0
jisyqzkppy,0.0
kksibpzn,0.0
erjduqdw,1.0
yianf,0.0
qppy,0.0
kthkski,0.0
yasnfjt,0.0
